Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	ath01110:Biosynthesis of secondary metabolites	67	10.806451612903226	1.8654555691543692E-10	AT5G17050, AT1G60270, AT1G06030, AT4G25700, AT4G14090, AT5G24140, AT4G11570, AT1G67070, AT2G20340, AT4G37760, AT1G17050, AT3G61220, AT1G78510, AT5G56090, AT5G52570, AT3G25180, AT5G15180, AT3G29200, AT1G14540, AT1G12240, AT3G25760, AT3G21560, AT1G67990, AT4G22880, AT4G28420, AT5G13930, AT4G08040, AT5G05270, AT3G10280, AT3G19450, AT2G02000, AT1G42550, AT1G78440, AT3G01260, AT4G26850, AT3G51240, AT3G55120, AT1G80340, AT4G35090, AT3G30180, AT4G21200, AT1G65060, AT2G36750, AT3G01420, AT5G58770, AT1G02205, AT5G36140, AT5G06730, AT2G02010, AT4G32770, AT1G66840, AT2G29090, AT2G36800, AT3G19160, AT5G24150, AT4G27550, AT3G25820, AT5G13630, AT2G27820, AT4G33070, AT5G08640, AT1G22380, AT1G52570, AT1G20480, AT5G53970	138	1320	5592	2.0567852437417655	1.529673554490074E-8	1.529673566706583E-8	1.4364007882488642E-8
KEGG_PATHWAY	ath04712:Circadian rhythm - plant	10	1.6129032258064515	6.796315054246331E-7	AT5G13930, AT3G15354, AT5G23730, AT1G56650, AT3G17609, AT5G11260, AT2G46790, AT5G52250, AT2G46340, AT1G53090	138	43	5592	9.42366026289181	5.57282495046163E-5	2.786489172240996E-5	2.6165812958848376E-5
KEGG_PATHWAY	ath00941:Flavonoid biosynthesis	6	0.967741935483871	2.936547426475693E-4	AT5G13930, AT3G51240, AT5G05270, AT3G55120, AT5G08640, AT4G22880	138	25	5592	9.725217391304346	0.023795538382640813	0.008026562965700227	0.007537138394620947
KEGG_PATHWAY	ath00909:Sesquiterpenoid and triterpenoid biosynthesis	5	0.8064516129032258	0.0021253780973842255	AT4G37760, AT1G78500, AT5G24140, AT5G36150, AT5G24150	138	23	5592	8.809073724007561	0.16009498703423297	0.03677708839638686	0.03453458300636327
KEGG_PATHWAY	ath01100:Metabolic pathways	77	12.419354838709678	0.002242505390023589	AT1G10370, AT5G17050, AT1G60270, AT1G06030, AT4G25700, AT4G23600, AT5G24140, AT2G38230, AT3G02810, AT4G11570, ATCG00020, AT1G67070, AT2G20340, AT4G37760, AT1G17170, AT1G17050, AT1G78510, AT5G56090, AT1G76570, AT5G52570, AT5G15180, AT3G29200, AT1G43800, AT1G14540, AT1G12240, AT3G25760, AT4G22880, AT5G24090, AT4G28420, AT5G13930, AT3G14040, AT1G17180, AT4G08040, AT5G05270, ATCG01060, AT3G10280, AT3G19450, AT2G02000, AT1G53680, AT4G31870, AT1G42550, AT3G01260, AT4G26850, AT3G51240, AT3G55120, AT1G80340, AT4G35090, AT3G30180, AT1G65060, AT3G23810, AT5G36140, AT1G69940, AT5G06730, AT2G02010, AT4G32770, AT5G17220, AT1G66840, AT4G18180, AT3G19160, AT5G20070, AT5G24150, AT1G56600, AT4G27550, AT3G25820, AT5G13630, AT2G27820, AT4G33070, AT5G08640, AT1G52570, AT1G20480, AT5G53970, AT1G78340, AT3G14940, AT1G05660, AT4G39650, AT5G01410, AT2G43890	138	2414	5592	1.292532689744606	0.168140674838695	0.03677708839638686	0.03453458300636327
KEGG_PATHWAY	ath00902:Monoterpenoid biosynthesis	3	0.4838709677419355	0.011542848019378639	AT3G61220, AT3G25820	138	7	5592	17.366459627329192	0.614038892683272	0.1422488873644148	0.13357517472024316
KEGG_PATHWAY	ath00480:Glutathione metabolism	8	1.2903225806451613	0.012143197701840287	AT1G10370, AT1G17180, AT1G17170, AT5G17220, AT1G53680, AT1G78340, AT4G31870, AT4G39650	138	102	5592	3.178175618073316	0.6327958623075671	0.1422488873644148	0.13357517472024316
KEGG_PATHWAY	ath00904:Diterpenoid biosynthesis	4	0.6451612903225806	0.022311795594862148	AT1G80340, AT4G21200, AT1G78440, AT3G25180	138	25	5592	6.483478260869565	0.8428078713941094	0.228695904847337	0.21475103260054818
KEGG_PATHWAY	ath00430:Taurine and hypotaurine metabolism	3	0.4838709677419355	0.028354193893831453	AT2G02000, AT2G02010, AT4G39650	138	11	5592	11.051383399209486	0.9054515531833813	0.25833821103268656	0.2425858810916691
KEGG_PATHWAY	ath00908:Zeatin biosynthesis	4	0.6451612903225806	0.042532716100054	AT1G22380, AT2G36800, AT3G19160, AT2G36750	138	32	5592	5.065217391304348	0.9716754283387121	0.34876827202044275	0.3275019139704158
KEGG_PATHWAY	ath00942:Anthocyanin biosynthesis	2	0.3225806451612903	0.04840262899487406	AT4G14090, AT5G54060	138	2	5592	40.52173913043478	0.9828933429131808	0.3608195979617884	0.3388184029641184
KEGG_PATHWAY	ath00130:Ubiquinone and other terpenoid-quinone biosynthesis	4	0.6451612903225806	0.07368409143575211	AT5G53970, AT1G65060, AT4G32770, AT4G28420	138	40	5592	4.052173913043478	0.9981196094452185	0.503507958144306	0.4728062533794094
KEGG_PATHWAY	ath00940:Phenylpropanoid biosynthesis	7	1.129032258064516	0.09065786876308918	AT5G15180, AT1G14540, AT3G19450, AT3G21560, AT1G67990, AT5G06730, AT1G65060	138	127	5592	2.233481684354673	0.9995872950540156	0.5472664338495834	0.51389652934656
KEGG_PATHWAY	ath00944:Flavone and flavonol biosynthesis	2	0.3225806451612903	0.09447871985326704	AT5G17050, AT1G30530	138	4	5592	20.26086956521739	0.9997077932848165	0.5472664338495834	0.51389652934656
